index,mtx,pixel_gflops
423,2251_cont-300.mtx,9.402804
424,2034_rajat15.mtx,2.623667
425,2508_Chevron3.mtx,13.578906
426,1383_cryg10000.mtx,1.859368
427,1178_c-22.mtx,2.492515
428,1641_mark3jac040sc.mtx,0.562409
429,1276_G10.mtx,2.682820
430,1490_nopoly.mtx,0.784961
431,0073_GD99_c.mtx,0.005927
432,1531_lock2232.mtx,18.243310
433,1927_crystm02.mtx,8.902731
434,1457_bcsstk14.mtx,12.871882
435,0210_gre_216b.mtx,0.087286
436,0303_oscil_dcop_47.mtx,0.096992
437,1027_ODLIS.mtx,0.091972
438,1031_bcsstk09.mtx,3.550513
439,0516_saylr3.mtx,0.369918
440,0761_mahindas.mtx,0.711320
441,0560_bcsstk02.mtx,5.927753
442,2656_mycielskian15.mtx,28.667991
443,1132_spaceStation_14.mtx,2.188777
444,0460_bfwb398.mtx,0.424107
445,1182_ACTIVSg2000.mtx,0.246238
446,1140_G55.mtx,0.035181
447,2325_heart1.mtx,191.599438
448,1785_delaunay_n15.mtx,1.839834
449,0720_bcsstk19.mtx,1.189019
450,2255_smallworld.mtx,2.021723
451,0028_Tina_DisCog.mtx,0.008348
452,1630_vsp_p0291_seymourl_iiasa.mtx,0.247483
453,1859_cond-mat-2003.mtx,0.326495
454,1120_ex29.mtx,2.291538
455,2427_sme3Db.mtx,0.495477
456,1854_ca-HepPh.mtx,0.674436
457,2305_msc10848.mtx,59.345162
458,0407_ch5-5-b3.mtx,0.177778
459,2672_CurlCurl_3.mtx,9.171406
460,2329_ga2010.mtx,0.443469
461,1678_Wordnet3.mtx,0.664685
462,0690_orsirr_2.mtx,0.582556
463,0401_mhdb416.mtx,0.477574
464,0087_GD98_b.mtx,0.011319
465,1898_raefsky1.mtx,47.181682
466,0831_dw2048.mtx,0.985255
467,0313_oscil_dcop_18.mtx,0.107500
468,1109_G40.mtx,0.589482
469,2158_thermomech_TC.mtx,0.284321
470,0099_d_dyn1.mtx,0.016198
471,2168_G2_circuit.mtx,4.216005
472,1507_c-37.mtx,3.436537
473,2587_largebasis.mtx,22.560694
474,0598_SmaGri.mtx,0.133762
475,2441_exdata_1.mtx,610.241519
476,1737_bayer04.mtx,4.803566
477,1287_nasa1824.mtx,6.079713
478,0950_Trefethen_700.mtx,2.024546
479,0364_dwt_209.mtx,0.288833
480,1991_delaunay_n16.mtx,4.215153
481,2051_rajat18.mtx,17.203769
482,2248_pkustk01.mtx,31.302333
483,2519_s3dkt3m2.mtx,167.554559
484,0118_mesh1e1.mtx,0.058029
485,0294_oscil_dcop_11.mtx,0.108403
486,2606_boneS01.mtx,63.471303
487,1055_G45.mtx,0.941509
488,0976_orsreg_1.mtx,1.219933
489,1549_utm5940.mtx,7.320557
490,0450_Erdos991.mtx,0.451794
491,1661_cvxqp3.mtx,1.240160
492,2139_g7jac160sc.mtx,0.858437
493,1659_foldoc.mtx,0.374387
494,0217_lop163.mtx,0.142026
495,1670_jan99jac060sc.mtx,0.964559
496,1143_TSOPF_FS_b9_c1.mtx,13.591628
497,1313_cage9.mtx,1.695893
498,2138_g7jac160.mtx,0.794576
499,0752_lung1.mtx,0.605228
500,1834_lowThrust_11.mtx,69.118681
501,1102_ex22.mtx,6.358207
502,1753_jan99jac080sc.mtx,1.006596
503,1013_dwt_992.mtx,4.806133
504,0033_GD95_a.mtx,0.002540
