index,mtx,m,n,nnz,right-n,pixel_gflops
1357,0371_ch5-5-b2.mtx,600,200,1800,8,2.215
1358,1851_igbt3.mtx,10938,10938,234006,8,66.859
1359,1198_lpi_greenbea.mtx,2393,5596,31074,8,13.811
1360,1092_bcsstm10.mtx,1086,1086,22092,8,14.139
1361,1644_psse2.mtx,28634,11028,115262,8,49.843
1362,1392_cz5108.mtx,5108,5108,51412,8,30.466
1363,0644_fpga_dcop_09.mtx,1220,1220,5888,8,3.623
1364,1297_G25.mtx,2000,2000,39980,8,20.635
1365,0339_oscil_dcop_35.mtx,430,430,1544,8,1.544
1366,1943_Chevron1.mtx,37365,37365,330633,8,101.733
1367,1332_fd15.mtx,11532,11532,44206,8,37.226
1368,1888_vsp_sctap1-2b_and_seymourl.mtx,40174,40174,281662,8,30.867
1369,0461_can_256.mtx,256,256,2916,8,1.794
1370,0075_refine.mtx,29,62,153,8,0.094
1371,2457_tsyl201.mtx,20685,20685,2454957,8,160.981
1372,0718_can_715.mtx,715,715,6665,8,4.102
1373,0016_lpi_itest6.mtx,11,17,29,8,0.046
1374,1227_reorientation_4.mtx,2717,2717,33630,8,20.695
1375,1419_c-33.mtx,6317,6317,56123,8,17.607
1376,2022_wy2010.mtx,86204,86204,427586,8,25.06
1377,2792_circuit5M.mtx,5558326,5558326,59524291,8,137.232
1378,0261_M10PI_n1.mtx,528,528,1317,8,1.505
1379,1616_cz10228.mtx,10228,10228,102876,8,49.879
1380,1542_lhr04.mtx,4101,4101,82682,8,32.266
1381,0519_mk9-b3.mtx,945,1260,3780,8,4.032
1382,1650_conf5_0-4x4-26.mtx,3072,3072,119808,8,70.997
1383,2575_F2.mtx,71505,71505,5294285,8,126.999
1384,1530_ex12.mtx,3973,3973,80211,8,42.779
1385,1520_lp_stocfor3.mtx,16675,23541,76473,8,37.078
1386,2126_TSOPF_RS_b162_c3.mtx,15374,15374,610299,8,137.532
1387,1144_n3c6-b9.mtx,2511,4935,25110,8,19.131
1388,2471_pct20stif.mtx,52329,52329,2698463,8,177.677
1389,1485_bloweybq.mtx,10001,10001,69991,8,46.661
1390,0892_adder_dcop_63.mtx,1813,1813,11246,8,5.998
1391,2546_t3dh_e.mtx,79171,79171,4352105,8,108.127
1392,0794_dwt_1005.mtx,1005,1005,8621,8,6.897
1393,1617_shuttle_eddy.mtx,10429,10429,103599,8,57.158
1394,2688_TSOPF_RS_b2383.mtx,38120,38120,16171169,8,458.757
1395,0305_oscil_dcop_42.mtx,430,430,1544,8,0.95
1396,1154_n4c5-b5.mtx,4340,2852,26040,8,16.666
1397,0742_lp_sctap2.mtx,1090,2500,7334,8,4.346
1398,1540_176bit.mtx,7441,7431,82270,8,27.423
1399,0493_bp_0.mtx,822,822,3276,8,1.807
1400,0510_bcsstm21.mtx,3600,3600,3600,8,6.4
1401,1181_msc01050.mtx,1050,1050,29156,8,14.578
1402,0486_G13.mtx,800,800,3200,8,4.267
1403,0279_rajat14.mtx,180,180,1503,8,0.776
1404,1371_ww_vref_6405.mtx,13251,13251,48737,8,29.992
1405,2360_dblp-2010.mtx,326186,326186,1615400,8,62.887
1406,0994_Erdos992.mtx,6100,6100,15030,8,8.907
1407,2084_Trefethen_20000.mtx,20000,20000,554466,8,161.299
1408,2466_ASIC_320k.mtx,321821,321821,2635364,8,68.34
1409,2364_lp1.mtx,534388,534388,1643420,8,61.58
1410,1795_chem_master1.mtx,40401,40401,201201,8,74.865
1411,0213_polbooks.mtx,105,105,882,8,0.543
1412,0717_m3plates.mtx,11107,11107,6639,8,8.852
1413,2020_ted_A.mtx,10605,10605,424587,8,119.182
1414,2693_hugetric-00000.mtx,5824554,5824554,17467046,8,43.235
1415,1966_a0nsdsil.mtx,80016,80016,355034,8,74.744
1416,1532_lowThrust_3.mtx,7064,7064,80645,8,49.628
1417,2506_ch8-8-b5.mtx,564480,376320,3386880,8,77.748
1418,0917_adder_dcop_41.mtx,1813,1813,11246,8,6.426
1419,1254_Chebyshev3.mtx,4101,4101,36879,8,13.722
1420,1967_bcsstk38.mtx,8032,8032,355460,8,107.309
1421,1525_pesa.mtx,11738,11738,79566,8,41.066
