mtx,m,n,nnz,other,time,gflops
1232_shar_te2-b1.mtx,17152,286,34320,1.957000,0.009995,6.867434
0419_lp_bandm.mtx,304,472,2494,25.501000,0.011974,0.416569
2071_Maragal_6.mtx,21248,10152,537694,27.603000,0.044133,24.366982
1991_delaunay_n16.mtx,65536,65536,393150,7.792000,0.036772,21.383118
0631_lp_bnl1.mtx,640,1586,5532,17.287000,0.010877,1.017192
2051_rajat18.mtx,94288,94294,485143,68.892000,0.044448,21.829689
2248_pkustk01.mtx,22032,22044,979380,4.179000,0.037408,52.362062
1245_Trec11.mtx,224,1138,35705,25.906000,0.012261,5.824158
2519_s3dkt3m2.mtx,90448,90449,3753461,10.265000,0.070164,106.991078
1187_n3c6-b5.mtx,4992,3003,30030,1.190000,0.009856,6.093750
0118_mesh1e1.mtx,48,48,306,0.483000,0.009545,0.064117
2137_Trec13.mtx,1296,6561,654517,5.194000,0.033122,39.521587
0294_oscil_dcop_11.mtx,416,430,1544,21.482000,0.009922,0.311228
2606_boneS01.mtx,127216,127224,6715152,25.590000,0.151191,88.830049
1055_G45.mtx,992,1000,19980,0.785000,0.009173,4.356263
0976_orsreg_1.mtx,2192,2205,14133,0.588000,0.009058,3.120556
1549_utm5940.mtx,5936,5940,83842,1.362000,0.010810,15.511933
1918_mk12-b4.mtx,62368,51975,311850,44.915000,0.031873,19.568287
0450_Erdos991.mtx,480,492,2834,0.554000,0.008752,0.647623
1661_cvxqp3.mtx,17488,17500,122462,27.670000,0.012916,18.962837
