index,mtx,m,n,nnz,cusparse,pixel_time,pixel_gflops
2243,0688_fpga_dcop_23.mtx,1220,1220,5892,0.000,0.006,1.956
2244,1111_G35.mtx,2000,2000,23556,0.000,0.009,5.416
2245,0913_adder_dcop_14.mtx,1813,1813,11246,0.000,0.007,3.281
2246,2525_barrier2-3.mtx,113076,113076,3805068,0.000,0.378,20.123
2247,2356_mi2010.mtx,329885,329885,1578090,0.000,0.495,6.382
2248,0235_fs_183_3.mtx,183,183,1069,0.000,0.006,0.355
2249,1609_Franz8.mtx,16728,7176,100368,0.000,0.006,31.122
2250,2713_circuit5M_dc.mtx,3523317,3523317,19194193,0.000,1.438,26.698
2251,1564_n4c6-b13.mtx,6300,25605,88200,0.000,0.010,17.711
2252,0636_spaceStation_2.mtx,329,329,5817,0.000,0.006,2.078
2253,2380_crashbasis.mtx,160000,160000,1750416,0.000,0.070,49.664
2254,1877_rlfddd.mtx,4050,61521,264627,0.000,0.016,32.897
2255,1070_p2p-Gnutella08.mtx,6301,6301,20777,0.000,0.011,3.894
2256,2381_majorbasis.mtx,160000,160000,1750416,0.000,0.071,49.585
2257,1078_bayer09.mtx,3083,3083,21216,0.000,0.006,7.569
2258,0283_lp_scorpion.mtx,388,466,1534,0.000,0.005,0.586
2259,1269_reorientation_8.mtx,3108,3108,37894,0.000,0.007,10.982
2260,1866_bcsstk25.mtx,15439,15439,252241,0.000,0.014,36.999
2261,2372_gas_sensor.mtx,66917,66917,1703365,0.000,0.082,41.403
2262,2705_af_shell5.mtx,504855,504855,17588875,0.000,0.304,115.587
2263,0945_delaunay_n11.mtx,2048,2048,12254,0.000,0.007,3.599
2264,1137_ex25.mtx,848,848,24612,0.000,0.006,7.817
2265,1461_rosen10.mtx,2056,6152,64192,0.000,0.008,16.202
2266,0239_rdb200.mtx,200,200,1120,0.000,0.005,0.427
2267,0890_adder_dcop_54.mtx,1813,1813,11246,0.000,0.007,3.123
2268,1397_ca-HepTh.mtx,9877,9877,51971,0.000,0.026,4.069
2269,0602_Roget.mtx,1022,1022,5075,0.000,0.005,2.032
2270,1941_Franz11.mtx,47104,30144,329728,0.000,0.014,48.729
2271,0567_lp_tuff.mtx,333,628,4561,0.000,0.008,1.198
2272,0684_fpga_dcop_20.mtx,1220,1220,5892,0.000,0.006,1.976
2273,1581_bayer10.mtx,13436,13436,94926,0.000,0.009,22.215
2274,0554_fs_541_1.mtx,541,541,4285,0.000,0.005,1.620
2275,0405_ch7-8-b1.mtx,1176,56,2352,0.000,0.006,0.746
2276,0383_olm500.mtx,500,500,1996,0.000,0.004,0.967
2277,0129_lp_sc105.mtx,105,163,340,0.000,0.005,0.140
2278,2700_af_shell7.mtx,504855,504855,17588875,0.000,0.304,115.893
2279,2729_12month1.mtx,12471,872622,22624727,0.000,3.484,12.989
2280,2499_nd3k.mtx,9000,9000,3279690,0.000,0.050,131.693
2281,0839_dwg961b.mtx,961,961,10591,0.000,0.006,3.778
2282,1774_scsd8-2r.mtx,8650,60550,190210,0.000,0.012,32.114
2283,1548_rajat08.mtx,19362,19362,83443,0.000,0.013,13.283
2284,1248_scagr7-2b.mtx,9743,13847,35885,0.000,0.006,12.527
2285,1759_c-45.mtx,13206,13206,174452,0.000,0.008,42.937
2286,2174_olesnik0.mtx,88263,88263,744216,0.000,0.059,25.411
2287,2144_cbuckle.mtx,13681,13681,676515,0.000,0.017,81.380
2288,1995_nemeth05.mtx,9506,9506,394808,0.000,0.008,97.040
2289,2716_hugetric-00010.mtx,6592765,6592765,19771708,0.000,6.154,6.426
2290,0593_bp_1400.mtx,822,822,4790,0.000,0.007,1.452
2291,1976_bcircuit.mtx,68902,68902,375558,0.000,0.045,16.598
2292,1436_scrs8-2r.mtx,14364,27691,58439,0.000,0.006,18.219
2293,1032_Chebyshev2.mtx,2053,2053,18447,0.000,0.007,5.616
2294,2613_pkustk12.mtx,94653,94653,7512317,0.000,0.192,78.365
2295,1478_nemspmm2.mtx,2301,8734,68225,0.000,0.009,15.102
2296,0736_iiasa.mtx,669,3639,7317,0.000,0.009,1.705
2297,0746_scrs8-2c.mtx,1820,3499,7367,0.000,0.005,3.146
2298,2552_TSOPF_RS_b300_c3.mtx,42138,42138,4413449,0.000,0.059,148.578
2299,1848_lhr11c.mtx,10964,10964,233741,0.000,0.009,54.415
2300,1030_Maragal_3.mtx,1690,860,18391,0.000,0.007,5.407
2301,1202_p2p-Gnutella06.mtx,8717,8717,31525,0.000,0.015,4.291
2302,2142_Zd_Jac6_db.mtx,22835,22835,663643,0.000,0.026,50.276
2303,1592_Franz10.mtx,19588,4164,97508,0.000,0.009,21.974
2304,1693_cavity20.mtx,4562,4562,138187,0.000,0.007,38.838
2305,2059_ncvxqp3.mtx,75000,75000,499964,0.000,0.064,15.741
2306,0654_fpga_dcop_45.mtx,1220,1220,5892,0.000,0.006,1.973
2307,1342_qpband.mtx,20000,20000,45000,0.000,0.005,19.036
2308,0022_mycielskian4.mtx,11,11,40,0.000,0.003,0.028
2309,0155_GD00_a.mtx,352,352,458,0.000,0.005,0.201
2310,1593_comsol.mtx,1500,1500,97645,0.000,0.009,22.703
2311,1576_Maragal_5.mtx,4654,3320,93091,0.000,0.012,15.336
2312,0766_bcsstk07.mtx,420,420,7860,0.000,0.006,2.828
2313,1455_lp_pds_06.mtx,9881,29351,63220,0.000,0.025,5.131
2314,0171_cat_ears_3_1.mtx,204,181,542,0.000,0.005,0.229
2315,0723_jagmesh2.mtx,1009,1009,6865,0.000,0.005,2.671
2316,0580_cdde4.mtx,961,961,4681,0.000,0.004,2.229
2317,1942_shyy161.mtx,76480,76480,329762,0.000,0.016,40.210
2318,0549_t2dal_e.mtx,4257,4257,4257,0.000,0.003,3.202
2319,2209_g7jac200sc.mtx,59310,59310,837936,0.000,0.122,13.707
2320,0472_n2c6-b9.mtx,306,1470,3060,0.000,0.006,1.050
2321,1514_cavity10.mtx,2597,2597,76367,0.000,0.006,23.902
2322,1982_viscoplastic2.mtx,32769,32769,381326,0.000,0.032,23.521
2323,0624_n4c5-b3.mtx,1350,455,5400,0.000,0.004,2.428
2324,0078_Trefethen_20.mtx,20,20,158,0.000,0.004,0.087
2325,0555_lp_scsd6.mtx,147,1350,4316,0.000,0.006,1.352
2326,0905_adder_dcop_23.mtx,1813,1813,11246,0.000,0.007,3.122
2327,2235_HFE18_96_in.mtx,2372,4096,933343,0.000,0.022,83.252
2328,2384_Lin.mtx,256000,256000,1766400,0.000,0.077,46.056
