index,mtx,m,n,nnz,right-n,pixel_gflops
1331,0508_bcsstm24.mtx,3562,3562,3562,8,9.499
1332,0691_fs_760_3.mtx,760,760,5976,8,8.692
1333,2186_dc1.mtx,116835,116835,766396,8,120.219
1334,1954_onetone1.mtx,36057,36057,341088,8,102.970
1335,2469_matrix-new_3.mtx,125329,125329,2678750,8,250.643
1336,1480_ex3sta1.mtx,17443,17516,68779,8,73.364
1337,0798_well1850.mtx,1850,712,8758,8,14.013
1338,2451_TSOPF_FS_b162_c4.mtx,40798,40798,2398220,8,532.938
1339,2121_lp_osa_30.mtx,4350,104374,604488,8,99.709
1340,0645_fpga_dcop_08.mtx,1220,1220,5888,8,6.281
1341,0404_celegansneural.mtx,297,297,2345,8,2.680
1342,1688_cavity26.mtx,4562,4562,138187,8,116.368
1343,2088_c-62ghs.mtx,41731,41731,559343,8,111.869
1344,1474_flowmeter5.mtx,9669,9669,67391,8,82.943
1345,0469_mk12-b1.mtx,1485,66,2970,8,5.940
1346,2294_tn2010.mtx,240116,240116,1193966,8,37.239
1347,1844_lhr10.mtx,10672,10672,232633,8,169.188
1348,1359_crew1.mtx,135,6469,46950,8,37.560
1349,0417_dw256A.mtx,512,512,2480,8,4.409
1350,1924_rlfprim.mtx,58866,62716,320591,8,138.634
1351,0371_ch5-5-b2.mtx,600,200,1800,8,3.200
1352,1851_igbt3.mtx,10938,10938,234006,8,113.457
1353,1198_lpi_greenbea.mtx,2393,5596,31074,8,26.168
1354,1092_bcsstm10.mtx,1086,1086,22092,8,25.248
1355,1644_psse2.mtx,28634,11028,115262,8,76.841
1356,1392_cz5108.mtx,5108,5108,51412,8,54.839
1357,0644_fpga_dcop_09.mtx,1220,1220,5888,8,6.281
1358,1297_G25.mtx,2000,2000,39980,8,39.980
1359,0339_oscil_dcop_35.mtx,430,430,1544,8,2.246
1360,1943_Chevron1.mtx,37365,37365,330633,8,195.931
1361,1332_fd15.mtx,11532,11532,44206,8,58.941
1362,1888_vsp_sctap1-2b_and_seymourl.mtx,40174,40174,281662,8,50.636
1363,0461_can_256.mtx,256,256,2916,8,3.110
1364,0075_refine.mtx,29,62,153,8,0.245
1365,2457_tsyl201.mtx,20685,20685,2454957,8,338.615
1366,0718_can_715.mtx,715,715,6665,8,6.665
1367,0016_lpi_itest6.mtx,11,17,29,8,0.077
1368,1227_reorientation_4.mtx,2717,2717,33630,8,29.893
1369,1419_c-33.mtx,6317,6317,56123,8,27.211
1370,2022_wy2010.mtx,86204,86204,427586,8,42.759
1371,2792_circuit5M.mtx,5558326,5558326,59524291,8,199.453
1372,0261_M10PI_n1.mtx,528,528,1317,8,2.107
1373,1616_cz10228.mtx,10228,10228,102876,8,91.445
1374,1542_lhr04.mtx,4101,4101,82682,8,73.495
1375,0519_mk9-b3.mtx,945,1260,3780,8,5.498
1376,1650_conf5_0-4x4-26.mtx,3072,3072,119808,8,136.923
1377,2575_F2.mtx,71505,71505,5294285,8,195.632
1378,1530_ex12.mtx,3973,3973,80211,8,75.493
1379,1520_lp_stocfor3.mtx,16675,23541,76473,8,71.975
1380,2126_TSOPF_RS_b162_c3.mtx,15374,15374,610299,8,406.866
1381,1144_n3c6-b9.mtx,2511,4935,25110,8,30.905
1382,2471_pct20stif.mtx,52329,52329,2698463,8,356.822
1383,1485_bloweybq.mtx,10001,10001,69991,8,53.326
1384,0892_adder_dcop_63.mtx,1813,1813,11246,8,8.568
1385,2546_t3dh_e.mtx,79171,79171,4352105,8,183.247
1386,0794_dwt_1005.mtx,1005,1005,8621,8,9.853
1387,1617_shuttle_eddy.mtx,10429,10429,103599,8,103.599
1388,2688_TSOPF_RS_b2383.mtx,38120,38120,16171169,8,1091.724
1389,0305_oscil_dcop_42.mtx,430,430,1544,8,2.246
1390,1154_n4c5-b5.mtx,4340,2852,26040,8,34.720
1391,0742_lp_sctap2.mtx,1090,2500,7334,8,8.382
1392,1540_176bit.mtx,7441,7431,82270,8,41.135
1393,0493_bp_0.mtx,822,822,3276,8,2.912
1394,0510_bcsstm21.mtx,3600,3600,3600,8,9.600
1395,1181_msc01050.mtx,1050,1050,29156,8,22.214
1396,0486_G13.mtx,800,800,3200,8,6.400
1397,0279_rajat14.mtx,180,180,1503,8,1.336
1398,1371_ww_vref_6405.mtx,13251,13251,48737,8,51.986
1399,2360_dblp-2010.mtx,326186,326186,1615400,8,105.928
1400,0994_Erdos992.mtx,6100,6100,15030,8,17.177
1401,2084_Trefethen_20000.mtx,20000,20000,554466,8,305.912
1402,2466_ASIC_320k.mtx,321821,321821,2635364,8,92.469
1403,2364_lp1.mtx,534388,534388,1643420,8,100.362
1404,1795_chem_master1.mtx,40401,40401,201201,8,169.432
1405,0213_polbooks.mtx,105,105,882,8,1.086
1406,0717_m3plates.mtx,11107,11107,6639,8,15.175
1407,2020_ted_A.mtx,10605,10605,424587,8,205.860
1408,2693_hugetric-00000.mtx,5824554,5824554,17467046,8,62.466
1409,1966_a0nsdsil.mtx,80016,80016,355034,8,105.195
1410,1532_lowThrust_3.mtx,7064,7064,80645,8,51.613
1411,2506_ch8-8-b5.mtx,564480,376320,3386880,8,123.159
1412,0917_adder_dcop_41.mtx,1813,1813,11246,8,8.568
1413,1254_Chebyshev3.mtx,4101,4101,36879,8,31.056
1414,1967_bcsstk38.mtx,8032,8032,355460,8,196.116
1415,1525_pesa.mtx,11738,11738,79566,8,74.886
1416,0943_can_1054.mtx,1054,1054,12196,8,13.938
1417,2629_bibd_20_10.mtx,190,184756,8314020,8,296.929
1418,0729_can_634.mtx,634,634,7228,8,8.896
1419,2462_ch7-9-b5.mtx,423360,317520,2540160,8,141.612
1420,0240_saylr1.mtx,238,238,1128,8,2.256
1421,0795_lshp1270.mtx,1270,1270,8668,8,11.557
1422,1736_OPF_3754.mtx,15435,15435,158273,8,97.399
1423,0358_IG5-8.mtx,156,292,1711,8,1.955
1424,0663_fpga_dcop_02.mtx,1220,1220,5892,8,5.892
1425,1780_c-50.mtx,22401,22401,193625,8,81.526
1426,2225_ar2010.mtx,186211,186211,904310,8,40.416
1427,1133_mcfe.mtx,765,765,24382,8,26.007
1428,1239_rail_5177.mtx,5177,5177,35185,8,40.211
1429,1697_rail_20209.mtx,20209,20209,139233,8,76.818
1430,2311_c-73.mtx,169422,169422,1279274,8,187.783
1431,1582_lp_nug15.mtx,6330,22275,94950,8,37.980
1432,0843_lp_czprob.mtx,929,3562,10708,8,9.518
1433,0308_oscil_dcop_45.mtx,430,430,1544,8,2.246
1434,1518_cavity15.mtx,2597,2597,76367,8,61.094
1435,0556_ch6-6-b5.mtx,720,4320,4320,8,5.760
1436,1885_s1rmq4m1.mtx,5489,5489,281111,8,172.991
1437,2492_delaunay_n19.mtx,524288,524288,3145646,8,118.704
1438,1517_cavity11.mtx,2597,2597,76367,8,61.094
1439,0975_yeast.mtx,2361,2361,13828,8,17.019
1440,1594_msc04515.mtx,4515,4515,97707,8,91.960
1441,0042_rgg010.mtx,10,10,76,8,0.174
1442,1029_mhd3200b.mtx,3200,3200,18316,8,36.632
1443,1127_model3.mtx,1609,4578,23974,8,21.310
1444,2795_Geo_1438.mtx,1437960,1437960,63156690,8,281.871
1445,2569_mono_500Hz.mtx,169410,169410,5036288,8,79.001
1446,2625_ship_003.mtx,121728,121728,8086034,8,310.256
1447,1733_lhr07.mtx,7337,7337,156508,8,131.796
1448,2653_Si87H76.mtx,240369,240369,10661631,8,252.346
1449,1303_G67.mtx,10000,10000,40000,8,58.182
1450,0061_ibm32.mtx,32,32,126,8,0.288
1451,1925_bcsstm36.mtx,23052,23052,320606,8,138.640
