index,mtx,m,n,nnz,cusparse,pixel_time,pixel_gflops
2066,1720_pds10.mtx,16558,16558,149658,0.000,0.008,39.819
2067,2143_Zd_Jac2_db.mtx,22835,22835,676439,0.000,0.012,116.297
2068,1495_ex18.mtx,5773,5773,71805,0.000,0.004,34.916
2069,0048_Stranke94.mtx,10,10,90,0.000,0.002,0.076
2070,2771_RM07R.mtx,381689,381689,37464962,0.000,0.553,135.437
2071,2712_Freescale1.mtx,3428755,3428755,18920347,0.000,0.898,42.144
2072,1435_meg1.mtx,2904,2904,58142,0.000,0.006,20.810
2073,0045_LF10.mtx,18,18,82,0.000,0.003,0.062
2074,1346_Franz6.mtx,7576,3016,45456,0.000,0.004,23.145
2075,0881_adder_dcop_20.mtx,1813,1813,11246,0.000,0.006,4.039
2076,0094_GD96_d.mtx,180,180,229,0.000,0.004,0.118
2077,0276_bcsstm11.mtx,1473,1473,1473,0.000,0.002,1.284
2078,2736_NLR.mtx,4163763,4163763,24975952,0.000,5.987,8.344
2079,0218_cat_ears_4_1.mtx,377,313,938,0.000,0.004,0.520
2080,0483_cz308.mtx,308,308,3182,0.000,0.004,1.458
2081,1569_model5.mtx,1888,11802,89925,0.000,0.007,27.238
2082,0850_adder_dcop_04.mtx,1813,1813,11107,0.000,0.006,3.884
2083,1756_bratu3d.mtx,27792,27792,173796,0.000,0.008,45.401
2084,2286_denormal.mtx,89400,89400,1156224,0.000,0.019,120.597
2085,0617_lshp_778.mtx,778,778,5272,0.000,0.004,2.725
2086,1323_freeFlyingRobot_14.mtx,5958,5958,43298,0.000,0.005,17.292
2087,2690_great-britain_osm.mtx,7733822,7733822,16313034,0.000,1.275,25.592
2088,0490_bibd_81_2.mtx,3240,3240,3240,0.000,0.002,2.898
2089,2146_bibd_17_8.mtx,136,24310,680680,0.000,0.011,128.904
2090,0915_adder_dcop_40.mtx,1813,1813,11246,0.000,0.006,4.040
2091,0024_farm.mtx,7,17,41,0.000,0.003,0.027
2092,1294_G30.mtx,2000,2000,39980,0.000,0.007,11.783
2093,2183_trans4.mtx,116835,116835,766396,0.000,0.026,59.500
2094,0428_S20PI_n1.mtx,1028,1028,2547,0.000,0.004,1.417
2095,1445_air02.mtx,50,6774,61555,0.000,0.006,20.775
2096,0184_GD01_a.mtx,311,311,645,0.000,0.004,0.322
2097,2524_barrier2-4.mtx,113076,113076,3805068,0.000,0.203,37.557
2098,1413_p2p-Gnutella25.mtx,22687,22687,54705,0.000,0.012,9.490
2099,1522_c-38.mtx,8127,8127,77689,0.000,0.006,25.577
2100,2615_web-BerkStan.mtx,685230,685230,7600595,0.000,0.264,57.548
2101,0967_lp_pilotnov.mtx,975,2446,13331,0.000,0.005,4.950
2102,0546_b2_ss.mtx,1089,1089,4228,0.000,0.004,2.169
2103,1089_bcsstm13.mtx,2003,2003,21943,0.000,0.005,8.540
2104,2671_BenElechi1.mtx,245874,245874,13150496,0.000,0.145,180.937
2105,2461_power9.mtx,155376,155376,2512300,0.000,0.048,104.599
2106,2170_n4c6-b6.mtx,104115,51813,728805,0.000,0.019,75.169
2107,1394_cq5.mtx,5048,11748,51571,0.000,0.005,19.669
2108,1843_lhr10c.mtx,10672,10672,232633,0.000,0.006,81.255
2109,2178_copter2(0).mtx,55476,55476,759952,0.000,0.031,49.626
2110,2306_al2010.mtx,252266,252266,1230482,0.000,0.286,8.590
2111,0590_lp_agg2.mtx,516,758,4740,0.000,0.005,2.014
2112,0426_can_292.mtx,292,292,2540,0.000,0.004,1.216
2113,0903_adder_dcop_27.mtx,1813,1813,11246,0.000,0.006,4.034
2114,1735_g7jac050sc.mtx,14760,14760,157990,0.000,0.011,28.658
2115,1382_c-25.mtx,3797,3797,49635,0.000,0.006,17.545
2116,1156_barth.mtx,6691,6691,26439,0.000,0.007,7.442
2117,1284_seymourl.mtx,4944,6316,38493,0.000,0.005,16.875
2118,1796_flower_7_4.mtx,27693,67593,202218,0.000,0.021,18.823
2119,1711_shermanACb.mtx,18510,18510,145149,0.000,0.012,24.633
2120,0281_GL7d11.mtx,1019,60,1513,0.000,0.004,0.841
