index,mtx,cvt_time,gflops
413,0107_wheel_6_1.mtx,,0.0780144
414,1108_G36.mtx,,5.41673
415,1429_ex10hs.mtx,,11.397
416,2295_az2010.mtx,,104.872
417,2150_rgg_n_2_16_s0.mtx,,145.108
418,2781_hugetrace-00020.mtx,,64.705
419,0162_bcsstm20.mtx,,0.147392
420,1769_nemsemm2.mtx,,28.1288
421,0441_lshp_406.mtx,,0.792099
422,0411_lp_israel.mtx,,0.557677
423,2684_higgs-twitter.mtx,,143.381
424,2709_human_gene2.mtx,,147.932
425,0621_dynamicSoaringProblem_1.mtx,,1.47935
426,0084_pores_1.mtx,,0.186422
427,1772_ca-CondMat.mtx,,42.8981
428,2630_Ge99H100.mtx,,142.666
429,0542_nos2.mtx,,1.31518
430,2045_nemeth13.mtx,,84.1029
431,1812_mk12-b3.mtx,,56.0329
432,1689_cavity21.mtx,,23.6441
433,0443_lp_finnis.mtx,,0.779894
434,1545_jan99jac040.mtx,,22.0445
435,0076_bcsstm05.mtx,,0.0489098
436,2131_mt2010.mtx,,97.7968
437,1970_bibd_16_8.mtx,,68.8879
438,0290_oscil_dcop_25.mtx,,0.463869
439,0605_spaceStation_3.mtx,,1.3334
440,2549_TSOPF_RS_b678_c1.mtx,,399.372
441,0737_reorientation_1.mtx,,1.78236
442,0169_lns_131.mtx,,0.164673
443,0832_lp_maros.mtx,,2.33203
444,1230_G60.mtx,,9.37389
445,2638_CurlCurl_2.mtx,,125.944
446,1367_circuit_3.mtx,,12.7845
447,1275_G6.mtx,,6.40006
448,2387_bbmat.mtx,,255.927
449,2202_TSC_OPF_300.mtx,,107.798
450,0160_bcspwr03.mtx,,0.145833
451,2125_TSOPF_FS_b162_c1.mtx,,83.0805
452,2743_F1.mtx,,146.843
453,1912_Na5.mtx,,45.9361
454,2128_c-69.mtx,,116.755
455,1468_aa5.mtx,,9.1533
456,2807_Long_Coup_dt0.mtx,,146.562
457,0331_oscil_dcop_48.mtx,,0.477761
458,0618_bcspwr06.mtx,,1.56415
459,1743_c-48.mtx,,37.1266
460,0497_qh882.mtx,,1.00766
461,1278_G9.mtx,,6.19623
462,0977_Erdos972.mtx,,3.92509
463,0138_tub100.mtx,,0.123257
464,1469_lpi_bgindy.mtx,,10.3673
465,1708_lp_maros_r7.mtx,,24.0015
466,1091_bcsstk10.mtx,,4.645
467,2773_dgreen.mtx,,139.112
468,0193_will199.mtx,,0.218539
469,1022_reorientation_2.mtx,,4.27951
470,1054_G46.mtx,,4.22605
471,2833_kmer_P1a.mtx,,32.7956
472,0854_deter0.mtx,,3.09536
473,1302_p2p-Gnutella04.mtx,,10.9895
474,2597_marine1.mtx,,157.372
475,0887_adder_dcop_29.mtx,,2.68519
